Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
"Deep Learning Engineer/Scientist, Tesla Bot",$86K - $205K (Glassdoor est.),"The Role

Tesla is on a path to build humanoid bi-pedal robots at scale to automate repetitive and boring tasks for manufacturing/logistics. Core to the Tesla Bot, the deep learning stack presents a unique opportunity to work on state-of-the-art neural network algorithms for deep learning culminating in their deployment to real world production applications. Our deep learning research scientists and engineers develop and own this stack from inception to deployment.

Responsibilities

Train machine learning and deep learning models on a computing cluster to perform visual recognition tasks, such as segmentation and detection",3.7,"Tesla
3.7","Palo Alto, CA",10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD)
Data Scientist,$86K - $205K (Glassdoor est.),"Required Qualifications
2+ years of relevant work experience in data analysis or related field. (e.g., as a statistician / data scientist / scientific researcher)
Interest in researching cutting-edge methods in AI, particularly reinforcement learning and federated machine learning
Preferred Qualifications
Analysis
Expertise in at least one of the following fields: Deep Reinforcement Learning, Federated Machine Learning, Generative Adversarial Networks
Experience with Neural Networks, including CNNs
Requirements:",4.3,"World Wide Technology Holding, LLC
4.3","Saint Louis, MO",5001 to 10000 Employees,1990,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Scientist,$86K - $205K (Glassdoor est.),"BlueVine is on a mission to empower small businesses with innovative banking designed for them. Small businesses deserve accessible and modern financial services, and traditional banks have underserved them for too long.
By combining industry-leading technology and security with our team's expertise and care, we help small businesses spend their time on what matters most—the next chapter of their business.
Since 2013, we've provided small and medium-sized businesses with access to more than $5.4 billion in financing. As a top small business banking provider trusted by thousands of small business owners, we're proud to offer a full suite of tailored banking services, including a business checking account, line of credit, and invoice factoring.
Headquartered in Redwood City, CA, and with offices in Salt Lake City, Jersey City, Tel Aviv, and Karmiel, we're hiring problem solvers and collaborators to help build a better financial future for small business owners.",4.4,"BlueVine
4.4","Jersey City, NJ",201 to 500 Employees,2013,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable
"Data Scientist, Growth",$86K - $205K (Glassdoor est.),"Data, Research & Insights
Data Science
The Freemium R&D team oversees the entire user journey on Spotify and ensures we engage with people in innovative ways, every step of the way. Our team grows Spotify’s audience by finding future listeners around the world and delivering the right value to them, at the right time. With research, product development, product design, engineering, and marketing all collaborating in one organization, we’re able to quickly create meaningful features and services for millions of people around the world, resulting in joyful, long-lasting relationships with Spotify.
Location
Boston or Remote Americas
Job type",4.2,"Spotify
4.2","Boston, MA",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$86K - $205K (Glassdoor est.),"When you join Verizon
Verizon is one of the world's leading providers of technology and communications services, transforming the way we connect across the globe. We're a diverse network of people driven by our shared ambition to shape a better future. Here, we have the ability to learn and grow at the speed of technology, and the space to create within every role. Together, we are moving the world forward - and you can too. Dream it. Build it. Do it here.
What you’ll be doing...
This role is part of our Network Enablement team within Verizon's Artificial Intelligence and Data (AI&D) center of excellence and is responsible for program and project coordination and support across multiple groups within Global Network and Technology (GN&T). We are tasked with bringing innovative AI/ML solutions to the business units that allow them to enable efficiencies.
The Artificial Intelligence and Data (AI&D) organization focuses on delivering the power of data and AI to drive our marketplace leadership through innovative solutions that create value for our customers, shareholders, V Teamers, and society; responsibly.
You'll use your analytics expertise to enhance our customer experience by ensuring best-in-class network quality, increasing efficiency, and predicting and preventing network issues. You'll partner with the business to understand problems and develop actionable insights and solutions to solve them. Most projects start with descriptive analytics to rapidly answer and visualize the who, what, when, where, why, and how types of questions. You’ll then move into deeper statistical analysis and visualization. Our work is less about research and development, and more about solving actual business problems with data science methodologies. All of our work is worked cross-functionally, hand in hand with the business partners, domain experts, partner teams, and each piece is well documented along the way. Regular reviews of use cases occur with leadership, which requires using data to tell the story of importance, priority, value, and benefit.",3.9,"Verizon
3.9","Lake Mary, FL",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Data Scientist I,$86K - $205K (Glassdoor est.),"Job Description:
Individual contributor role practicing and enabling data science at Bank of America
Builds and optimizes classifiers using machine learning techniques
Performs ad-hoc analysis and presents results in a clear manner
Extends company’s data with third party sources of information when needed
Performs tasks of data wrangling and feature engineering
Ensures data integrity for analysis and modeling
Data visualization

Required and Desired Candidate Qualifications:
Strong STEM background Knowledge of Machine Learning, NLP, Deep Learning, Statistical Modeling, Quantitative Analysis, Forecasting, Data Visualization
Knowledge of machine learning techniques and algorithms, such as Gradient Boosted Trees, CNN, RNN LSTM, etc.
Proficiency in languages such as Python (scikit learn, pandas, numpy etc.) SAS, SQL, R & MATLAB, C/C++
Prior experience with SQL and NoSQL databases, distributed computing
Knowledge of data visualization tools
Minimum of 2 years of relevant experience



H5
1st shift (United States of America)
40
0",4.0,"Bank of America
4.0","Charlotte, NC",10000+ Employees,1904,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
Data Scientist,$86K - $205K (Glassdoor est.),"Our Mission
Zocdoc is the tech company at the beginning of a better healthcare experience. Every day, we are driven by our mission to give power to the patient, building products and services that simplify and streamline the overall healthcare journey for patients and providers, delivering the modern healthcare experience they expect and deserve.
Healthcare moves slow. We move fast. Patients deserve speed and convenience.
Your Impact on our Mission
Zocdoc's most important asset is our people. As a Data Scientist on the Search team, you'll play a meaningful role in making sure that the patient experience for search and discovery continues to evolve, by building and iterating on features that improve the search experience at Zocdoc.
You'll enjoy this role if you are…",4.2,"Zocdoc
4.2","New York, NY",501 to 1000 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Associate Data Scientist,$86K - $205K (Glassdoor est.),"Agency :
Havas Edge San Diego
Job Description Summary :
Havas Edge is seeking an Associate Data Scientist to join our Analytics practice and support our Data Scientist team with the development of accurate models that predict impact of tactical media activities on our clients’ business.

Our Data Science & Analytics team provides insights and actionable results to a wide variety of stakeholders across the organization in support of their decision making. The team partners and collaborates with multiple departments across the company to design, develop and implement cutting-edge data pipelines, data products, data models, reports, analyses, and machine learning applications.

You will work with our Data Scientists, Analysts, Engineers, and internal stakeholders to ensure that the most relevant real-time and historical data is identified, tracked, analyzed, and made actionable across our client portfolio.

The key skills you will grow proficient in are Bayesian and statistical model building, optimization modeling, mathematics, and R/Python coding.
Permanent",3.8,"Havas Group
3.8","Carlsbad, CA",10000+ Employees,1978,Company - Public,Advertising & Marketing,Business Services,$2 to $5 billion (USD)
Jr. Data Scientist,$77K - $154K (Glassdoor est.),"Paramount Global (NASDAQ: PARA, PARAA) is a leading global media and entertainment company that creates premium content and experiences for audiences worldwide. Driven by iconic studios, networks and streaming services, Paramount's portfolio of consumer brands includes CBS, Showtime Networks, Paramount Pictures, Nickelodeon, MTV, Comedy Central, BET, Paramount+, Pluto TV and Simon & Schuster, among others. Paramount delivers the largest share of the U.S. television audience and boasts one of the industry's most important and extensive libraries of TV and film titles. In addition to offering innovative streaming services and digital video products, the company provides powerful capabilities in production, distribution and advertising solutions.
Advertising on all formats is being reinvented through new business models and the combination of big data, predictive analytics, optimization and other modern data science and analysis techniques. Paramount's Advanced Advertising Group is at the forefront of this reinvention of advertising and is currently looking for key new individuals to join our team!

The Product Science and Analytics team is looking for a Junior Data Scientist. In this role, you will need to gain an understanding of our platform, including the predictive, simulation, and optimization models that power it – as well as how those models impact our underlying business. You will be expected to monitor and maintain existing prediction, optimization, and simulation engines. You will also implement custom queries against our data warehouse, run statistical data analyses, and other types of analyses related to platform performance. You will work closely with a dedicated science and software engineering team, as well as key operational teams, to validate and ensure platform KPI performance!


Work with data scientists, data engineers, and software engineers to deliver analysis aimed at underlying business objectives
Execute data driven methodologies to improve product performance and capability
Monitor and maintain platform health, as determined by Vantage business leadership
Ensure technical approaches taken by the Science and Analysis team are appropriate for their objective and underlying data structure
Brainstorm new functionality and features for future platform improvements
Work with semi-technical and non-technical business units in delivering actionable insights from large data sets


Passion for problem-solving and the ability to find answers to difficult questions – the sort of answers that others might struggle to find
Acute attention to detail, strong critical thinking skills, and excellent time management skills
Experience working with production data science systems
Proficiency with extracting insights from large data sets and communicating the results to non-technical staff
Highly proficient in Excel (advanced formulas, pivot tables) and PowerPoint
Comfortable programming in Python and SQL
Basic grasp of relational database structures and data management
Familiarity with cloud-based infrastructure (Amazon Web Services) or Unix/Linux based systems.
Bachelor’s Degree in a STEM field with 2+ years professional experience in data analytics, media tech or ad tech -OR- Master’s/Ph.D. in a STEM field.


Experience in media at an agency, network, or ad-tech firm with a fundamental understanding of digital, addressable, programmatic and/or television advertising
Experience working in a team environment
Strong written and oral communication skills, including experience building and leading presentations
A committed, entrepreneurial approach to building businesses within a fast-paced environment focused on changing the way partners perceive our brand and our product

Paramount is an equal opportunity employer (EOE) including disability/vet.

At Paramount, the spirit of inclusion feeds into everything that we do, on-screen and off. From the programming and movies we create to employee benefits/programs and social impact outreach initiatives, we believe that opportunity, access, resources and rewards should be available to and for the benefit of all. Paramount is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran status.

If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access. https://www.paramount.com/careers as a result of your disability. You can request reasonable accommodations by calling 212.846.5500 or by sending an email to viacomaccommodations@viacom.com. Only messages left for this purpose will be returned.",3.8,"Paramount
3.8","New York, NY",1 to 50 Employees,1998,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Wellbeing Data Scientist - Trust & Safety,$77K - $154K (Glassdoor est.),"TikTok is the leading destination for short-form video. Our mission is to inspire creativity and bring joy.

Our Trust & Safety team's commitment is to keep our online community safe. We have invested heavily in human and machine-based moderation to remove harmful content quickly and often before it reaches our general community.

Our Global Wellbeing (GW) Team is responsible for the development, implementation and measurement of global strategy and programs for all T&S teams. These are designed to support and promote positive physical and psychological health, as well as healthy working environments, especially for those who work with potentially harmful content and for both in-house teams and business partners.

The goal of the Wellbeing Data Scientist is to help the business make sound decisions using data. As a data scientist within our Wellbeing team, you will work closely with cross-functional partners such as program managers and specialists, HR, and Operations to identify measures to predict psychological harm for Trust & Safety employees. This is accomplished by proactively analyzing the relationship between performance and people metrics and delivering insights to influence Trust & Safety decisions.




Trust & Safety is committed to the wellbeing of all our employees. Our promise is to provide comprehensive and evidence-based programs, to promote and support physical and mental wellbeing throughout each employee's journey with us. We believe that wellbeing is a relationship and that everyone has a part to play, so we work in collaboration and consultation with our employees and across our functions in order to ensure a truly person-centred, innovative and integrated approach.

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.",3.6,"TikTok
3.6","Mountain View, CA",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$77K - $154K (Glassdoor est.),"Data Scientist
Overview:
The community has a need for timely and accurate COVID-19 results and information to protect themselves and others during this pandemic. GS Labs is responding to this call-to-action. We are prepared to provide this testing in a professional, safe environment and need reliable and detail-oriented people willing to join our team. If you feel called to contribute to the community in a meaningful way while earning a good wage, this opportunity might be for you.

What are we looking for?
We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.",4.2,"GS Labs, LLC
4.2","Omaha, NE",1001 to 5000 Employees,2003,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Junior Data Scientist,$77K - $154K (Glassdoor est.),"About Enterprise Data and Analytics:
The Data and Analytics (DnA) Services organization is transforming how Coca-Cola leverages data across the entire company. We passionately develop and scale leading data capabilities for Coca-Cola, driving growth and delighting consumers through innovation and agile, insight-led decision making.
Job Description Summary:
You will play a critical role in the growing Data Science Services team in DnA, where you will be responsible for developing advanced analytics and machine learning models across domains including: marketing, supply chain optimization, forecasting, digital transformation, and food and beverage science. You will work closely with IT partners, process owners and business stakeholders to deliver impactful data science solutions at significant scale. You will have the opportunity to do your best work every day and deliver disruptive innovation by tapping into new datasets, leveraging the latest cloud technologies, and being supported by a robust analytics and IT organization.",4.0,"The Coca-Cola Company
4.0","Atlanta, GA",10000+ Employees,1886,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Jr. Data Scientist,$77K - $154K (Glassdoor est.),"Experience with statistics/machine learning packages such as Spark MLlib, Python (scikit-learn, pandas, numpy, scipy, Matplotlib), Keras, TensorFlow, PyTorch etc.

Insurance industry experience is an advantage.

ML/NLP/Deep Learning knowledge/experience is an advantage.

Competencies for Analyst I, Data Science, typically acquired through a Master`s degree (in Statistics, Mathematics, Economics, Actuarial Science or other scientific field of study) and 0-1 years of experience or may be acquired through a Bachelor`s degree and 3+ years of relevant experience.",5.0,"Aroopa
5.0","San Francisco, CA",1 to 50 Employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
"Data Scientist, Analytics (Growth)",$77K - $154K (Glassdoor est.),"Next Insurance is a fast-growing tech company based in Silicon Valley that is led by a team of experienced entrepreneurs with a history of successful outcomes. Our mission is to transform insurance for small businesses by combining world-class technology and phenomenal customer service to offer better insurance at a lower price. As the leading digital insurtech company transforming small business insurance, we are proud to have achieved a company valuation of $4 billion and total funding raised to more than $880 million!

Next Insurance is looking for explorers who are filled with curiosity, have the desire to travel the unbeaten path, and realize new heights in providing small business owners with the peace of mind to run their businesses. If you move fast, and are customer-focused and willing to challenge the status quo, Next Insurance might just be your next journey.",4.3,"Next Insurance
4.3","Palo Alto, CA",501 to 1000 Employees,2016,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
Data Scientist,$77K - $154K (Glassdoor est.),"At the NBA, we’re passionate about growing and celebrating the game of basketball. Through the intensity of the game and the amazing athletic skill of our players, we deliver excitement to hundreds of millions of fans around the world.
As a global sports and media business, the NBA is so much more. While Basketball Operations runs the league’s on-court activities, other departments manage relationships with television and digital media partners, develop marketing partnerships with some of the world’s most recognizable companies, oversee the licensing of NBA merchandise, and handle a wide range of responsibilities that drive the NBA’s success.

The NBA is committed to providing a safe and healthy workplace. To safeguard our employees and their families, our visitors and the broader community from COVID-19, and in consideration of recommendations from health authorities and the NBA’s own advisors, any individual working onsite in our New York and New Jersey offices must be fully vaccinated against COVID-19, including having received a booster when eligible. The NBA will discuss accommodations for individuals who cannot be vaccinated due to a medical reason or sincerely held religious belief, practice, or observance.",4.0,"the NBA
4.0","New York, NY",1001 to 5000 Employees,1946,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable
Data Scientist,$77K - $154K (Glassdoor est.),"Circle is a global financial technology firm that enables businesses of all sizes to harness the power of digital currency and public blockchains for payments, commerce and financial applications worldwide. Circle platforms and products provide a suite of internet-native financial services for payments, treasury infrastructure and capital formation. Circle is also a principal developer of USD Coin (USDC), which has become the fastest growing dollar digital currency in the world. USDC has grown to over 53+ billion in circulation and supported over $1.9+ trillion in transactions in the past year. Circle's payments and treasury infrastructure services available through the Circle Account and APIs helps bridge the legacy financial system and digital currency and blockchain based finance. Circle's SeedInvest service brings internet-native fundraising and capital formation to startups and growth companies. Combined, Circle's suite of services helps companies to participate in a more open, global and inclusive financial system.",4.2,"Circle
4.2","Phoenix, AZ",51 to 200 Employees,2013,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable
Graduate Data Scientist - Role Can be Remote,$77K - $154K (Glassdoor est.),"The Petcare Segment consists of five Divisions: Pet Nutrition, Royal Canin, Mars Veterinary Health N. America, Mars Veterinary Health International & Diagnostics, Kinship. Under this new organization of Petcare Product and Service brands, we launched our Strategy in 2018 with an objective to “Create a Better World for Pets by extending global leadership in Nutrition, Health and Services powered by Data”.
With the breadth and scale of our Petcare businesses we have unique and unrivalled data assets. The potential to create benefits for Pets and sustainable competitive advantage is huge and we need to seize this opportunity now.
Our data assets consist of Veterinary data including appointment and invoice details as well as the medical histories and diagnostic details this provides. We have breed and disease marker data from our DNA diagnostics business (Wisdom Health), Location and Activity Tracking data from our Whistle business. From our nutrition businesses we have sales data, some consumer data as well as valuable information about retailers, Veterinarians, Breeders and Shelters. We also have third party data providing us with product purchasing insights and the potential to develop deeper and broader views into Petcare shopping through collaboration and D2C engagement.",4.2,"MARS
4.2","Franklin, TN",10000+ Employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist - Data Analytics,$77K - $154K (Glassdoor est.),"This is an environment unlike anything in the high-tech world and the secret of Costco’s success is its culture. The value Costco puts on its employees is well documented in articles from a variety of publishers including Bloomberg and Forbes. Our employees and our members come FIRST. Costco is well known for its generosity and community service and has won many awards for its philanthropy. The company joins with its employees to take an active role in volunteering by sponsoring many opportunities to help others. In 2018, Costco contributed over $39 million to organizations such as United Way and Children's Miracle Network Hospitals.
Costco IT is responsible for the technical future of Costco Wholesale, the second largest retailer in the world with wholesale operations in twelve countries. Despite our size and explosive international expansion, we continue to provide a family, employee centric atmosphere in which our employees thrive and succeed. As proof, Costco consistently ranks in the .",4.0,"Costco Wholesale
4.0","Seattle, WA",10000+ Employees,1976,Company - Public,General Merchandise & Superstores,Retail,$10+ billion (USD)
"data scientist, Supply Chain - Remote",$77K - $154K (Glassdoor est.),"Job Posting
: Apr 4, 2022
Job Posting End Date
: May 5, 2022
Location
: US-WA-Seattle-Starbucks Support Center
Is this role eligible for remote or hybrid work? : Yes-Remote",3.8,"Starbucks
3.8","Seattle, WA",10000+ Employees,1971,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD)
"Data Scientist, RegLab",$77K - $154K (Glassdoor est.),"Data Scientist, RegLab
Job Code: 4745
Job Grade: I
The Regulation, Evaluation, and Governance Lab (RegLab) at Stanford University is looking for a Data Scientist to work across our research programs. This role will collaborate closely with teams of research fellows and students on projects related to machine learning and the public sector. We are looking for someone who is a self-learner, research-oriented, and excited by the mission of the Lab.
About us: Stanford RegLab is a social impact lab that partners with government and nonprofits to use machine learning and data science to modernize the public sector. We are an interdisciplinary team of lawyers, data scientists, social scientists, and engineers who are passionate about building high impact demonstration projects for the future of governance. Some of our partners include the EPA, IRS, DOL, and Santa Clara County Public Health.",4.4,"Stanford University
4.4","Stanford, CA",10000+ Employees,1891,College / University,Colleges & Universities,Education,$10+ billion (USD)
Data Scientist,$77K - $154K (Glassdoor est.),"Company Description

Public Storage is recognized as one of America’s Best Large Employers in 2022 by Forbes and our employees have also voted us as a Great Place to Work, having Best Career Growth, ranked us in the Top 5% for Work Culture, and in the Top 10% for Diversity and Inclusion.
With more than 2,800 locations nationwide, Public Storage is the leader in the self-storage industry, and given our number of tenants, we may very well be the world's largest landlord. We've experienced unprecedented growth over the past four decades, and it's in no small part due to the dedicated team that has helped us become an S&P 500 industry leader, the country's largest real estate investment trust (REIT), and the most recognizable name in self-storage.

Job Description",3.2,"Public Storage
3.2","Glendale, CA",5001 to 10000 Employees,1972,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD)
Data Scientist,$77K - $154K (Glassdoor est.),"Moodys Northwest Consulting looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms",-1,Moodys Northwest consulting,"Bellevue, WA",-1,-1,-1,-1,-1,-1
Data Scientist,$77K - $154K (Glassdoor est.),"Yext (NYSE: YEXT) is building the next big thing in AI search, and the next big thing is answers.

With the explosion of information and data online, search has never been more important. However, while the world of consumer search has innovated over time, enterprise search has not. In fact, the majority of enterprise search is powered by outdated keyword technology that only scans for keywords and delivers a list of hyperlinks rather than actually answering questions. Yext, the AI Search Company, offers a modern, AI-powered Answers Platform that understands natural language so that when people ask questions about a business online they get direct answers – not links.

We have a big, audacious mission to transform the enterprise with AI search. To achieve that, we need bright minds and diverse perspectives to join our growing company and help us continue to disrupt an industry. Does this sound like you?",3.9,"Yext
3.9","New York, NY",1001 to 5000 Employees,2006,Company - Public,Internet,Information Technology,$100 to $500 million (USD)
Junior Data Scientist,$77K - $154K (Glassdoor est.),"In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI). Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems. By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.

Work you'll do

The Analytics & Cognitive Consultant will join a team responsible for developing advanced analytics products; applying data visualization and statistical programming tools to enterprise data to advance and enable the key mission outcomes. In this role, they will support all phases of analytic work product development, from the identification of key business questions, through data collection and ETL, from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to delivery insights to decision-makers. This role requires special attention to the interplay between data and the business processes that produce it and the decision-makers that consume insights

Additional duties:



Travel up to 10% (While 10% of travel is a requirement of the role, due to COVID-19, non-essential travel has been suspended until further notice.)

The team

Deloitte's Government and Public Services (GPS) practice - our people, ideas, technology and outcomes-is designed for impact. Serving federal, state, & local government clients as well as public higher education institutions, our team of over 15,000+ professionals brings fresh perspective to help clients anticipate disruption, reimagine the possible, and fulfill their mission promise.

The GPS Analytics and Cognitive (A&C) offering is responsible for developing advanced analytics products and applying data visualization and statistical programming tools to enterprise data in order to advance and enable the key mission outcomes for our clients. Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to delivery insights to decision-makers. Our practitioners give special attention to the interplay between data and the business processes that produce it and the decision-makers that consume insights.

Qualifications

Required:



Preferred:





How you'll grow

At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.",4.0,"Deloitte
4.0","Rosslyn, VA",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Data Scientist,$77K - $154K (Glassdoor est.),"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns",-1,Kulkarni Properties,"Tampa, FL",-1,-1,-1,-1,-1,-1
Data Scientist,$77K - $154K (Glassdoor est.),"What we offer
Our company culture is focused on helping our employees enable innovation by building breakthroughs together. How? We focus every day on building the foundation for tomorrow and creating a workplace that embraces differences, values flexibility, and is aligned to our purpose-driven and future-focused work. We offer a highly collaborative, caring team environment with a strong focus on learning and development, recognition for your individual contributions, and a variety of benefit options for you to choose from. Apply now!

COMPANY DESCRIPTION

SAP started in 1972 as a team of five colleagues with a desire to do something new. Together, they changed enterprise software and reinvented how business was done. Today, as a market leader in enterprise application software, we remain true to our roots. That’s why we engineer solutions to fuel innovation, foster equality and spread opportunity for our employees and customers across borders and cultures. SAP values the entrepreneurial spirit, fostering creativity and building lasting relationships with our employees. We know that a diverse and inclusive workforce keeps us competitive and provides opportunities for all. We believe that together we can transform industries, grow economics, lift up societies and sustain our environment. Because it’s the best-run businesses that make the world run better and improve people’s lives.",4.4,"SAP
4.4","Bellevue, WA",10000+ Employees,1972,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Wellbeing Data Scientist - Trust & Safety,$77K - $154K (Glassdoor est.),"TikTok is the leading destination for short-form video. Our mission is to inspire creativity and bring joy.

Our Trust & Safety team's commitment is to keep our online community safe. We have invested heavily in human and machine-based moderation to remove harmful content quickly and often before it reaches our general community.

Our Global Wellbeing (GW) Team is responsible for the development, implementation and measurement of global strategy and programs for all T&S teams. These are designed to support and promote positive physical and psychological health, as well as healthy working environments, especially for those who work with potentially harmful content and for both in-house teams and business partners.

The goal of the Wellbeing Data Scientist is to help the business make sound decisions using data. As a data scientist within our Wellbeing team, you will work closely with cross-functional partners such as program managers and specialists, HR, and Operations to identify measures to predict psychological harm for Trust & Safety employees. This is accomplished by proactively analyzing the relationship between performance and people metrics and delivering insights to influence Trust & Safety decisions.




Trust & Safety is committed to the wellbeing of all our employees. Our promise is to provide comprehensive and evidence-based programs, to promote and support physical and mental wellbeing throughout each employee's journey with us. We believe that wellbeing is a relationship and that everyone has a part to play, so we work in collaboration and consultation with our employees and across our functions in order to ensure a truly person-centred, innovative and integrated approach.

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.",4.2,"ByteDance
4.2","Mountain View, CA",10000+ Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$77K - $154K (Glassdoor est.),"Do you want to be part of Boston's hottest up and coming startup? Insurify is one of the fastest-growing MIT FinTech startups and has been recognized as a global Top 100 InsurTech company. We're changing the way millions of people compare and buy insurance with artificial intelligence, technology, and superior product design.
Our team is highly analytical, fast-moving, and focused on one thing: getting more people to compare insurance quotes using Insurify.
Join us if you like
$1.3 Trillion market opportunity
MIT alumni founders
Female-led startup",4.5,"Insurify
4.5","Cambridge, MA",1 to 50 Employees,2013,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable
"Principal Data Scientist, SNKRS (Open to remote work, except the following locations: SD, VT, and WV)",$77K - $154K (Glassdoor est.),"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
WHO WE ARE LOOKING FOR
We are looking for an experienced, hands-on Principal Data Scientist who is excited to cultivate and serve a dedicated sneakerhead community. You love cutting edge machine learning, and bringing it to production to serve users. You will drive ambitious roadmaps, lead and mentor data scientists, and partner with a diverse set of partners.",4.2,"Nike
4.2","New York, NY",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
